Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-68246.15,-23624.329999999998,-112305.42,19674.0,0.43,10.0,1286,16825,4279021.98,14783,-4391327.4,62816,15423,133.34,109.7,130.48,53.0,sweep,loss>70%win
EURUSD.c,-68462.3,-8422.05,10161.39,21720.0,2.15,30.0,578,2902,829922.49,3476,-819761.1,12752,2306,404.59,510.28,497.11,46.0,sweep,loss>70%win
NAS100.c,-9375.35,-3817.62,8620.14,22457.68,0.42,8.0,338,2063,738530.48,2423,-729910.34,8890,1352,260.55,177.98,202.39,46.0,sweep,loss>70%win
GBPUSD.c,-24328.45,-1268.6200000000001,-32063.29,8584.0,1.72,30.0,398,1242,346137.02999999997,1609,-378200.32,5671,973,370.14,510.17,379.08,44.0,sweep,loss>70%win
USDJPY.c,-34602.35,-1727.7,12333.52,28209.81,2.71,30.0,377,1071,520855.29,1487,-508521.77,5107,1077,451.85,236.21,356.35,42.0,sweep,loss>70%win
US30.c,-4913.75,-338.94,38716.18,11924.0,0.41,4.64,215,1288,315736.97,1147,-277020.79,4849,828,172.97,103.85,337.07,53.0,sweep,loss>70%win
GER30.c,-8542.4,-1100.94,68852.19,17989.34,1.05,10.0,142,846,514979.85,818,-446127.66,3268,371,204.9,190.94,188.24,51.0,,loss>70%win
BTCUSD,-884.8,-3529.53,-6154.56,16460.37,0.18,3.0,128,419,60342.329999999994,559,-66496.89,1953,297,470.55,351.39,428.06,43.0,sweep,loss>70%win
GBPJPY.c,-6664.65,1.8499999999999854,-47952.58,4645.44,1.48,19.02,196,399,95516.33,501,-143468.91,1796,243,822.85,206.8,380.12,44.0,,loss>70%win
AUDUSD.c,-9634.0,-762.44,-27337.29,3893.0,2.24,30.0,175,388,75218.31999999999,459,-102555.61,1721,325,1313.78,978.35,1985.77,46.0,sweep,loss>70%win
