Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-80470.2,-25540.19,-87214.91,19674.0,0.41,10.0,1530,21324,5410464.91,18269,-5497679.82,78612,17997,136.09,106.63,126.3,54.0,sweep,loss>70%win
EURUSD.c,-78705.05,-10257.84,-4359.34,21720.0,2.21,30.0,668,3236,956582.78,3924,-960942.12,14293,2480,404.8,499.26,475.15,45.0,sweep,loss>70%win
NAS100.c,-11167.55,-3879.95,-33665.32,22457.68,0.43,8.0,393,2403,873930.22,2842,-907595.54,10403,1714,252.27,162.73,195.56,46.0,sweep,loss>70%win
GBPUSD.c,-30181.75,-1429.84,-22093.24,8584.0,1.84,30.0,486,1438,440465.07,1863,-462558.31,6561,1092,362.63,469.6,359.62,44.0,sweep,loss>70%win
US30.c,-5540.95,-328.24,30699.3,11924.0,0.37,4.64,247,1621,356891.88,1421,-326192.58,6061,1169,159.36,103.54,286.74,53.0,sweep,loss>70%win
USDJPY.c,-41260.7,-1595.3700000000001,-33432.5,28209.81,2.86,30.0,445,1200,597615.61,1695,-631048.11,5783,1126,459.53,283.33,356.53,41.0,sweep,loss>70%win
GER30.c,-9026.6,-1128.0800000000002,73918.14,17989.34,1.02,10.0,167,913,541815.91,882,-467897.77,3525,396,197.74,182.8,191.25,51.0,,loss>70%win
BTCUSD,-1502.4,-4457.2300000000005,-3837.72,16460.37,0.18,3.5,171,740,103979.45,935,-107817.17,3334,432,500.47,369.92,309.12,44.0,,loss>70%win
GBPJPY.c,-7707.2,19.55999999999998,-66037.25,4645.44,1.44,19.02,229,459,104507.39,616,-170544.64,2144,300,747.32,348.42,347.61,43.0,,loss>70%win
AUDUSD.c,-11570.1,-1593.02,-21639.48,4417.68,2.4,30.0,196,441,106411.31,516,-128050.79,1931,362,1395.74,978.07,1767.18,46.0,sweep,loss>70%win
SPX500.c,-1313.95,-960.69,-35359.35,2471.7,0.34,7.5,112,441,56468.6,335,-91827.95,1535,166,694.99,766.0,1206.9,57.0,,loss>70%win
USDCAD.c,-5806.9,-134.82,19449.62,7043.79,1.6,30.0,192,310,50651.7,421,-31202.08,1457,228,619.85,784.04,839.42,42.0,sweep,meets_all
USDCHF.c,-4631.55,564.19,4806.97,7504.71,1.39,16.52,167,305,68745.45,364,-63938.479999999996,1333,339,855.95,897.11,948.45,46.0,sweep,loss>70%win
EURJPY.c,-5130.05,-614.02,-20437.39,8012.39,1.89,16.86,120,212,65410.270000000004,338,-85847.66,1082,265,379.01,501.23,342.9,39.0,sweep,loss>70%win
NZDUSD.c,-2082.7,-384.49,-8102.8,2157.84,1.08,15.0,110,142,11891.05,248,-19993.85,776,118,988.46,933.79,425.11,36.0,sweep,loss>70%win
JP225.c,-239.85,-35.64,-4119.13,4680.6,0.13,2.5,52,186,20933.56,198,-25052.69,771,45,172.56,168.51,190.36,48.0,,loss>70%win
WTI.c,-1026.7,-212.68,17013.75,4023.0,0.59,7.54,55,171,46080.47,183,-29066.72,698,150,425.54,318.82,192.41,48.0,sweep,meets_all
XAGUSD.c,-402.75,-60.43,-7962.7,4015.0,0.25,2.7,79,166,23610.75,160,-31573.45,648,69,445.55,338.71,780.58,51.0,,loss>70%win
HK50.c,-350.0,98.74,1949.04,1175.49,0.27,2.0,20,146,15592.81,107,-13643.77,514,63,447.99,382.35,572.45,58.0,,loss>70%win
GBPAUD.c,-2148.95,-288.13,-13300.92,5087.95,1.68,16.4,76,100,36216.15,154,-49517.07,512,99,584.61,407.07,454.74,39.0,sweep,loss>70%win
AUDJPY.c,-1339.5,-556.38,12478.15,12379.48,1.25,24.96,66,109,25117.43,109,-12639.28,428,88,573.38,1332.62,446.1,50.0,sweep,meets_all
AUDCAD.c,-589.7,-170.56,6752.32,3640.9,0.56,11.0,71,121,10489.36,90,-3737.04,424,87,739.06,617.61,180.57,57.0,sweep,meets_all
EURGBP.c,-2008.8,-30.429999999999996,-1258.76,4501.13,2.09,18.0,62,93,35151.85,101,-36410.61,384,55,1276.32,1128.73,1896.05,48.0,,loss>70%win
EURAUD.c,-1482.25,-193.8,484.48,4826.74,1.6,12.23,72,67,25283.68,120,-24799.2,370,42,607.66,323.03,493.33,36.0,,loss>70%win
GBPCAD.c,-732.0,-61.96,-3378.43,1013.96,1.0,20.0,55,60,4150.65,87,-7529.08,293,34,671.44,574.59,625.54,41.0,,loss>70%win
CADJPY.c,-964.55,-209.87,9252.38,3649.29,1.39,10.0,45,60,19727.489999999998,80,-10475.11,277,44,480.76,550.64,375.95,43.0,sweep,meets_all
EURCHF.c,-241.65,-213.96,-161.96,259.55,0.37,4.0,34,90,2862.19,39,-3024.15,262,38,3721.0,3797.78,7672.66,70.0,,loss>70%win
