Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-99497.35,-28585.86,-270048.48,19674.0,0.41,10.0,1856,26251,6746915.17,22955,-7016963.65,97600,21843,134.4,101.93,118.52,53.0,sweep,loss>70%win
EURUSD.c,-96274.65,-12749.28,11667.72,21720.0,2.29,30.0,786,3822,1174063.12,4599,-1162395.4,16842,2807,388.61,468.79,431.11,45.0,sweep,loss>70%win
NAS100.c,-12777.9,-4150.97,-81668.08,22457.68,0.41,8.0,473,2901,1021789.44,3387,-1103457.52,12465,2139,237.62,166.16,195.19,46.0,sweep,loss>70%win
GBPUSD.c,-39555.85,-1532.82,-48281.9,8584.0,1.93,30.0,589,1807,540171.66,2313,-588453.56,8182,1328,339.62,422.57,327.39,44.0,sweep,loss>70%win
US30.c,-6152.05,-225.48000000000002,31305.61,11924.0,0.34,4.64,295,1959,405139.81,1659,-373834.2,7192,1376,180.4,111.66,295.41,54.0,sweep,loss>70%win
USDJPY.c,-52172.2,-2603.51,-83235.15,28209.81,3.05,30.0,530,1411,739309.03,2026,-822544.18,6860,1195,463.02,297.28,403.55,41.0,sweep,loss>70%win
BTCUSD,-2409.65,-5703.2300000000005,-27828.62,16460.37,0.18,4.0,212,1117,158397.96,1606,-186226.58,5427,641,442.43,420.01,281.37,41.0,,loss>70%win
GER30.c,-9468.5,-1172.67,84135.34,17989.34,1.02,11.0,187,959,576730.66,937,-492595.32,3722,418,260.61,178.61,187.71,51.0,,loss>70%win
GBPJPY.c,-8599.9,17.639999999999986,-77893.97,4645.44,1.43,19.02,248,494,109460.77,708,-187354.74,2395,353,706.42,365.78,323.83,41.0,,loss>70%win
AUDUSD.c,-13952.0,-1743.14,-34023.12,4417.68,2.39,30.0,233,552,124548.51,609,-158571.63,2335,405,1321.89,832.43,1592.58,48.0,sweep,loss>70%win
USDCAD.c,-7657.65,-599.86,27036.58,7043.79,1.61,30.0,222,422,75226.43,538,-48189.85,1908,290,599.03,909.11,730.76,44.0,sweep,meets_all
SPX500.c,-1491.6,-1112.04,-36642.45,2898.0,0.33,7.5,136,517,66368.75,398,-103011.2,1813,186,664.24,785.3,1129.94,57.0,,loss>70%win
