Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-55673.6,-22538.19,93855.56,19674.0,0.47,10.0,989,12586,3524954.43,11326,-3431098.87,47527,12353,155.64,130.7,134.84,53.0,sweep,loss>70%win
EURUSD.c,-59582.3,-7070.45,6803.96,21720.0,2.13,30.0,486,2514,719025.04,3088,-712221.08,11212,2111,414.56,539.62,522.1,45.0,sweep,loss>70%win
NAS100.c,-8525.5,-3798.45,23762.98,22457.68,0.45,8.0,276,1764,696178.46,2067,-672415.48,7576,1177,283.08,179.02,218.84,46.0,sweep,loss>70%win
GBPUSD.c,-19819.9,-964.04,-19095.39,7644.0,1.62,30.0,332,1062,292181.69,1389,-311277.08,4880,872,380.7,528.72,372.26,43.0,sweep,loss>70%win
USDJPY.c,-27190.15,-944.36,66618.46,28209.81,2.73,30.0,312,851,458005.89,1144,-391387.43,3991,799,477.43,246.35,405.28,43.0,sweep,loss>70%win
US30.c,-4123.55,-361.85,21108.67,11924.0,0.44,4.64,182,983,263881.32,905,-242772.65,3758,607,205.8,127.45,406.95,52.0,sweep,loss>70%win
GER30.c,-7944.0,-1083.3600000000001,81324.34,17989.34,1.16,10.0,124,708,496296.33,683,-414971.99,2731,320,163.05,142.31,141.29,51.0,,loss>70%win
BTCUSD,-754.05,-2989.85,170.66,16460.37,0.2,3.0,98,323,49984.52,444,-49813.86,1529,237,497.45,432.34,522.22,42.0,sweep,loss>70%win
GBPJPY.c,-5544.15,-67.88000000000002,-42198.86,4645.44,1.47,19.02,157,347,77492.68,407,-119691.54,1506,210,532.66,217.27,425.8,46.0,,loss>70%win
AUDUSD.c,-7232.6,-286.51,-10650.1,3893.0,1.94,30.0,143,341,61191.28,392,-71841.38,1484,291,1364.64,1002.43,2186.22,47.0,sweep,loss>70%win
USDCAD.c,-2698.85,-11.279999999999998,-7424.06,689.08,0.95,20.0,140,221,11001.36,345,-18425.42,1139,193,636.7,705.91,901.41,39.0,sweep,loss>70%win
USDCHF.c,-3883.75,494.03,24989.43,7504.71,1.43,16.52,126,243,65657.96,296,-40668.53,1086,312,837.21,991.84,561.83,45.0,sweep,meets_all
SPX500.c,-861.6,-920.37,-7669.7,2471.7,0.35,5.8,79,291,38895.2,210,-46564.9,990,111,830.46,792.65,1603.77,58.0,,loss>70%win
EURJPY.c,-3098.1,-427.71,-2017.39,2855.98,1.51,16.86,74,158,39946.6,260,-41963.99,823,254,380.9,519.36,382.11,38.0,sweep,loss>70%win
WTI.c,-889.4,-128.01,9080.31,2632.0,0.59,7.54,44,148,32450.36,157,-23370.05,600,134,330.23,269.28,216.79,49.0,sweep,loss>70%win
NZDUSD.c,-1076.8,-62.8,-2382.75,863.2,0.84,6.45,80,93,5990.49,165,-8373.24,514,50,820.51,678.62,188.38,36.0,,loss>70%win
JP225.c,-156.55,-16.44,-10025.27,944.0,0.14,1.05,28,82,8987.619999999999,147,-19012.89,457,27,119.23,109.22,141.48,36.0,,loss>70%win
XAGUSD.c,-345.3,-42.050000000000004,-18532.0,2590.55,0.36,2.7,50,93,9241.15,98,-27773.15,379,52,375.36,449.48,445.15,49.0,,loss>70%win
GBPAUD.c,-1331.6,-250.57,-4146.17,5087.95,1.59,16.4,57,70,22579.8,96,-26725.97,335,49,733.26,577.53,347.5,42.0,,loss>70%win
AUDCAD.c,-354.3,-134.4,7953.28,3640.9,0.47,11.0,45,93,9307.87,59,-1354.5900000000001,304,74,759.79,734.5,166.4,61.0,sweep,meets_all
AUDJPY.c,-979.4,-566.22,15952.52,12379.48,1.42,24.96,52,63,23019.28,78,-7066.76,276,41,670.64,1410.0,381.54,45.0,,meets_all
EURGBP.c,-1652.0,-43.019999999999996,3637.82,4501.13,2.41,18.0,41,65,32045.39,72,-28407.57,273,45,1364.9,710.92,2422.85,47.0,sweep,loss>70%win
