Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-114311.3,-30855.27,-283832.61,20637.0,0.4,10.0,2088,30708,8000179.61,26563,-8284012.22,113634,24579,135.3,102.35,120.7,54.0,sweep,loss>70%win
EURUSD.c,-111515.5,-14154.58,-8963.6,21720.0,2.34,30.0,861,4341,1302237.88,5220,-1311201.48,19113,3259,375.85,443.57,409.12,45.0,sweep,loss>70%win
NAS100.c,-13777.75,-4789.69,-97631.32,22457.68,0.4,8.0,519,3236,1118029.78,3793,-1215661.1,13929,2445,231.16,158.79,184.14,46.0,sweep,loss>70%win
GBPUSD.c,-45952.5,-1841.17,-52542.16,8584.0,1.9,30.0,649,2132,608555.18,2736,-661097.34,9661,1633,327.69,417.61,317.58,44.0,sweep,loss>70%win
US30.c,-6679.3,-257.97,36091.65,11924.0,0.34,4.64,327,2131,445548.52,1806,-409456.87,7827,1450,186.22,117.55,308.16,54.0,sweep,loss>70%win
USDJPY.c,-57413.55,-3552.06,-111572.49,28209.81,3.02,30.0,591,1558,792067.95,2260,-903640.44,7612,1292,444.74,291.25,382.93,41.0,sweep,loss>70%win
BTCUSD,-2956.6,-6970.2300000000005,-48993.92,16460.37,0.19,4.0,241,1270,193009.06,1925,-242002.98,6352,699,451.02,459.05,260.04,40.0,,loss>70%win
GER30.c,-10178.35,-1539.66,99532.45,17989.34,0.99,11.0,203,1063,617095.19,1029,-517562.74,4097,459,262.6,204.43,182.93,51.0,,loss>70%win
AUDUSD.c,-15587.95,-1840.46,-37752.26,4417.68,2.34,30.0,253,624,141532.34,702,-179284.6,2668,481,1228.02,737.78,1538.62,47.0,sweep,loss>70%win
GBPJPY.c,-9707.15,16.519999999999985,-78144.02,4645.44,1.48,19.02,269,536,124705.84,782,-202849.86,2621,382,659.3,361.49,312.34,41.0,,loss>70%win
USDCAD.c,-8364.4,-671.6,27346.75,7043.79,1.5,30.0,243,531,78995.05,594,-51648.3,2227,359,558.97,847.86,720.39,47.0,sweep,meets_all
SPX500.c,-1697.3,-1353.08,-35114.65,2898.0,0.34,7.5,143,579,78838.2,436,-113952.85,2005,217,610.21,738.65,1027.99,57.0,,loss>70%win
USDCHF.c,-6416.8,819.35,3499.54,7504.71,1.46,16.52,203,418,91818.33,472,-88318.79,1758,413,771.17,889.91,811.43,47.0,sweep,loss>70%win
