Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-109635.7,-30472.739999999998,-278712.81,20637.0,0.4,10.0,1995,29352,7639120.29,25538,-7917833.1,108903,23811,136.07,103.45,121.47,53.0,sweep,loss>70%win
EURUSD.c,-104420.8,-13626.45,15466.17,21720.0,2.29,30.0,823,4157,1252110.4,5001,-1236644.23,18302,3117,376.86,449.7,416.75,45.0,sweep,loss>70%win
NAS100.c,-13348.4,-4354.61,-95915.84,22457.68,0.39,8.0,503,3145,1079059.04,3676,-1174974.88,13518,2359,228.91,159.96,187.09,46.0,sweep,loss>70%win
GBPUSD.c,-43310.8,-1674.4,-49016.76,8584.0,1.9,30.0,623,2024,582948.52,2582,-631965.28,9135,1562,332.08,425.38,306.5,44.0,sweep,loss>70%win
US30.c,-6431.2,-263.08,34205.82,11924.0,0.34,4.64,312,2093,425623.35,1761,-391417.53,7658,1437,186.21,115.78,310.88,54.0,sweep,loss>70%win
USDJPY.c,-55604.75,-2713.5,-104562.94,28209.81,2.99,30.0,569,1528,772361.17,2207,-876924.11,7449,1275,440.92,291.79,384.03,41.0,sweep,loss>70%win
BTCUSD,-2803.5,-6719.05,-43122.99,16460.37,0.18,4.0,233,1235,187141.85,1835,-230264.84,6104,689,451.53,469.36,261.84,40.0,,loss>70%win
GER30.c,-10033.9,-1471.51,89815.36,17989.34,1.0,11.0,199,1030,603183.28,1013,-513367.92,4004,456,264.26,207.33,184.79,50.0,,loss>70%win
AUDUSD.c,-15312.6,-1834.08,-36309.39,4417.68,2.38,30.0,247,602,138197.54,682,-174506.93,2583,454,1254.77,767.24,1602.05,47.0,sweep,loss>70%win
GBPJPY.c,-9330.35,16.649999999999984,-79808.17,4645.44,1.47,19.02,258,521,118800.23,758,-198608.4,2543,372,672.89,356.55,317.16,41.0,,loss>70%win
USDCAD.c,-8208.95,-673.75,28249.49,7043.79,1.51,30.0,235,516,78434.66,581,-50185.17,2172,350,570.64,889.07,733.69,47.0,sweep,meets_all
SPX500.c,-1662.05,-1294.32,-34564.7,2898.0,0.34,7.5,141,569,76859.0,429,-111423.7,1971,211,616.92,740.82,1050.25,57.0,,loss>70%win
USDCHF.c,-6324.2,840.5699999999999,4569.66,7504.71,1.47,16.52,202,411,91009.69,457,-86440.03,1714,400,742.36,905.44,811.54,47.0,sweep,loss>70%win
XAGUSD.c,-664.5,-90.25,-5027.2,5000.0,0.17,2.7,128,367,57734.15,399,-62761.35,1522,131,320.58,185.74,349.21,48.0,,loss>70%win
