Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-40446.65,-18419.89,187230.27,19674.0,0.47,10.0,744,9121,2729379.4,8258,-2542149.13,34571,8373,163.52,151.5,143.45,52.0,sweep,loss>70%win
EURUSD.c,-46990.35,-4040.21,-2964.9,21720.0,2.06,30.0,378,2011,544662.51,2527,-547627.41,9093,1773,455.81,591.47,583.21,44.0,sweep,loss>70%win
NAS100.c,-7432.5,-3421.07,46203.22,22457.68,0.5,8.0,207,1390,630099.32,1609,-583896.1,5935,877,291.6,162.62,159.11,46.0,,loss>70%win
GBPUSD.c,-15961.2,-775.35,-23278.32,7644.0,1.58,20.0,258,871,238918.1,1150,-262196.42,4042,729,381.94,606.01,370.16,43.0,sweep,loss>70%win
USDJPY.c,-21763.55,-163.65,81066.39,28209.81,2.69,24.0,242,697,388665.26,919,-307598.87,3234,673,401.08,247.53,455.42,43.0,sweep,loss>70%win
US30.c,-2791.4,-289.75,12381.5,11924.0,0.41,4.0,141,697,197736.27,667,-185354.77,2714,420,232.71,128.83,501.41,51.0,sweep,loss>70%win
GER30.c,-5658.45,-511.75,66580.26,17989.34,1.07,10.0,93,558,388327.92,526,-321747.66,2124,234,173.42,166.36,147.29,51.0,,loss>70%win
GBPJPY.c,-4779.2,-193.69000000000003,-33411.8,4645.44,1.53,19.02,126,292,70371.4,335,-103783.2,1249,180,565.38,232.4,454.96,47.0,,loss>70%win
AUDUSD.c,-5035.55,-238.01999999999998,7482.51,3893.0,1.65,30.0,115,291,53026.06,311,-45543.55,1219,255,1448.22,1101.26,2764.93,48.0,sweep,loss>70%win
BTCUSD,-439.25,-1980.58,3710.34,16460.37,0.17,2.5,75,211,37533.31,320,-33822.97,1059,154,546.65,409.42,541.31,40.0,,loss>70%win
USDCAD.c,-2195.95,-7.62,-7531.58,689.08,0.89,20.0,118,185,8932.14,300,-16463.72,983,176,602.39,770.28,815.72,38.0,sweep,loss>70%win
USDCHF.c,-3452.3,239.73,28565.56,7504.71,1.91,16.52,94,181,62794.840000000004,176,-34229.28,722,124,642.91,633.29,666.17,51.0,sweep,meets_all
SPX500.c,-558.2,-830.05,-12592.65,1360.0,0.33,5.8,55,197,21358.45,135,-33951.1,668,78,1002.53,929.61,2123.98,59.0,,loss>70%win
EURJPY.c,-2277.0,-421.34000000000003,-2317.59,2855.98,1.39,10.0,55,124,32433.34,205,-34750.93,656,207,416.05,618.46,408.31,38.0,sweep,loss>70%win
WTI.c,-507.5,-82.17,6169.35,1811.5,0.41,3.0,32,118,17046.55,132,-10877.2,494,110,345.79,277.32,245.43,47.0,sweep,meets_all
