Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-71332.35,-24261.239999999998,-157059.91,19674.0,0.42,10.0,1367,18417,4576434.34,15978,-4733494.25,68351,16393,133.16,110.94,126.24,54.0,sweep,loss>70%win
EURUSD.c,-70882.6,-9189.67,22987.62,21720.0,2.14,30.0,607,3017,876123.51,3640,-853135.89,13300,2382,404.0,503.07,493.44,45.0,sweep,loss>70%win
NAS100.c,-9662.5,-3800.13,-8073.36,22457.68,0.42,8.0,350,2147,759068.38,2514,-767141.74,9237,1408,257.61,172.23,205.65,46.0,sweep,loss>70%win
GBPUSD.c,-25356.05,-1315.1200000000001,-18558.3,8584.0,1.71,30.0,428,1306,370037.92,1678,-388596.22,5930,1004,367.96,495.38,372.73,44.0,sweep,loss>70%win
US30.c,-5160.95,-316.31,27261.1,11924.0,0.38,4.64,226,1431,327665.02,1277,-300403.92,5393,1012,166.76,102.78,306.72,53.0,sweep,loss>70%win
USDJPY.c,-36220.1,-1327.6100000000001,-3702.7,28209.81,2.75,30.0,397,1107,534189.01,1540,-537891.71,5287,1098,457.29,236.83,364.2,42.0,sweep,loss>70%win
GER30.c,-8692.4,-1131.74,63224.72,17989.34,1.04,10.0,153,861,517613.41,843,-454388.69,3350,376,201.37,188.49,182.19,51.0,,loss>70%win
BTCUSD,-1118.65,-4065.7200000000003,-10101.66,16460.37,0.2,3.5,143,478,71226.98,654,-81328.64,2248,339,541.37,388.45,375.75,42.0,sweep,loss>70%win
GBPJPY.c,-6864.5,46.65999999999998,-49808.46,4645.44,1.46,19.02,206,414,99202.39,528,-149010.85,1878,248,813.2,272.41,366.77,44.0,,loss>70%win
AUDUSD.c,-9748.0,-1454.56,-12391.93,4417.68,2.23,30.0,181,399,91316.47,467,-103708.4,1752,331,1397.61,978.35,1929.49,46.0,sweep,loss>70%win
SPX500.c,-1211.95,-906.6899999999999,-33296.1,2471.7,0.35,7.5,106,408,50471.1,304,-83767.2,1404,161,724.32,758.41,1310.14,57.0,,loss>70%win
