Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-1768.95,-1271.98,-18879.92,8277.0,0.53,6.0,125,309,86764.88,356,-105644.8,1339,312,100.65,133.29,91.21,46.0,sweep,loss>70%win
EURUSD.c,-2051.4,-259.5,-3288.61,1740.0,2.41,25.0,49,54,8365.51,110,-11654.12,339,34,107.32,213.39,94.82,33.0,,loss>70%win
USDJPY.c,-1317.95,-24.47,-7671.27,4703.75,1.84,13.77,35,40,8733.82,99,-16405.09,281,99,77.01,29.41,77.88,29.0,sweep,loss>70%win
GBPUSD.c,-722.3,-80.54,-3407.74,761.6,1.09,12.5,37,61,8141.43,68,-11549.17,262,45,155.69,356.61,66.42,47.0,sweep,loss>70%win
NAS100.c,-190.6,-27.17,-14260.58,2694.0,0.31,2.3,41,50,7896.12,75,-22156.7,251,48,74.32,36.89,48.13,40.0,sweep,loss>70%win
US30.c,-249.7,-9.2,-5206.87,721.5,0.4,1.5,28,52,4971.2699999999995,70,-10178.14,249,48,62.35,142.74,40.55,43.0,sweep,loss>70%win
USDCAD.c,-397.7,-1.93,-1196.73,496.29,1.45,10.0,11,15,705.3000000000001,41,-1902.03,110,25,109.16,40.69,60.78,27.0,sweep,loss>70%win
GER30.c,-141.7,-199.0,-6449.8,1583.93,0.52,3.0,13,25,4313.53,33,-10763.33,110,34,108.71,239.88,42.6,43.0,sweep,loss>70%win
BTCUSD,-37.75,-12.66,-168.16,410.17,0.24,1.0,13,8,995.22,19,-1163.38,60,4,162.78,49.33,23.42,30.0,,loss>70%win
GBPJPY.c,-107.75,4.96,-5368.2,115.27,1.19,7.0,13,7,382.85,12,-5751.05,37,5,74.75,91.47,59.39,37.0,,loss>70%win
GBPAUD.c,-46.75,0.0,-247.63,9.77,0.58,1.4,3,1,9.77,15,-257.4,32,15,29.76,104.2,26.33,6.0,sweep,"low_win%,loss>70%win"
NZDUSD.c,-39.35,-20.79,335.71,390.4,0.49,2.0,8,8,504.81,7,-169.1,31,4,604.72,994.08,720.92,53.0,,meets_all
AUDUSD.c,-24.599999999999998,-7.52,-29.58,42.63,0.35,1.2,8,8,71.78,4,-101.36,27,2,231.43,337.0,119.72,67.0,,loss>70%win
CADJPY.c,-55.949999999999996,-3.54,1795.33,2173.29,1.0,7.98,5,1,2173.29,9,-377.96000000000004,22,7,578.44,0.0,645.58,10.0,sweep,low_win%
SPX500.c,-9.65,0.29,258.75,224.0,0.18,0.84,3,8,346.75,2,-88.0,22,4,404.6,456.33,505.88,80.0,sweep,meets_all
JP225.c,-6.35,0.0,-1182.45,9.45,0.12,0.37,5,1,9.45,10,-1191.9,22,2,139.55,0.0,0.0,9.0,,"low_win%,loss>70%win"
EURJPY.c,-54.9,0.61,-514.23,149.83,1.1,6.88,6,4,296.1,6,-810.33,20,3,231.36,35.63,85.28,40.0,sweep,loss>70%win
CADCHF.c,-15.9,-0.1,-57.41,45.92,0.43,1.0,3,4,51.870000000000005,4,-109.28,15,1,90.89,30.7,441.6,50.0,emotional,loss>70%win
WTI.c,-3.4,-12.48,-208.73,9.6,0.11,0.28,5,5,22.4,4,-231.13,15,0,56.17,0.0,122.4,56.0,,loss>70%win
