Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-60256.85,-22941.11,-28187.16,19674.0,0.46,10.0,1064,13908,3751859.22,12530,-3780046.38,52568,13334,147.69,125.2,131.18,53.0,sweep,loss>70%win
EURUSD.c,-63543.55,-7388.88,27880.44,21720.0,2.14,30.0,521,2698,776120.77,3241,-748240.33,11885,2220,403.44,514.06,508.75,45.0,sweep,loss>70%win
NAS100.c,-9038.15,-3804.0,19482.78,22457.68,0.43,8.0,299,1941,713254.26,2289,-693771.48,8376,1296,265.0,170.46,204.45,46.0,sweep,loss>70%win
GBPUSD.c,-22484.2,-1130.66,-21287.4,7644.0,1.72,30.0,357,1156,318437.67,1477,-339725.07,5235,943,378.36,505.4,398.09,44.0,sweep,loss>70%win
USDJPY.c,-29948.8,-1359.76,53541.76,28209.81,2.66,30.0,337,974,483145.18,1285,-429603.42,4520,959,464.54,241.86,378.69,43.0,sweep,loss>70%win
US30.c,-4408.15,-368.31,26179.67,11924.0,0.42,4.64,190,1123,281028.64,983,-254848.97,4191,667,191.99,114.97,391.1,53.0,sweep,loss>70%win
GER30.c,-8206.1,-1103.19,71923.86,17989.34,1.1,10.0,129,764,501999.88,753,-430076.02,2981,352,189.08,155.89,135.67,50.0,,loss>70%win
BTCUSD,-810.55,-3121.45,-3567.97,16460.37,0.19,3.0,107,351,53057.61,488,-56625.58,1674,262,486.13,425.15,503.16,42.0,sweep,loss>70%win
GBPJPY.c,-6084.7,45.75999999999999,-43282.47,4645.44,1.52,19.02,163,368,89368.45,433,-132650.92,1597,212,891.7,215.59,421.41,46.0,,loss>70%win
AUDUSD.c,-8600.05,-304.06,-18144.54,3893.0,2.15,30.0,155,364,66697.94,423,-84842.48,1596,310,1302.48,981.72,2048.9,46.0,sweep,loss>70%win
USDCAD.c,-3257.15,-10.639999999999999,-6835.09,1697.71,1.08,30.0,148,233,14428.61,370,-21263.7,1208,204,614.9,678.71,885.36,39.0,sweep,loss>70%win
USDCHF.c,-4036.65,498.53999999999996,21588.32,7504.71,1.42,16.52,135,250,65952.87,313,-44364.55,1133,312,817.4,996.23,542.23,44.0,sweep,meets_all
SPX500.c,-879.25,-916.92,-7558.05,2471.7,0.33,5.8,82,315,39543.95,227,-47102.0,1076,125,780.78,719.48,1514.26,58.0,,loss>70%win
EURJPY.c,-3285.15,-428.58,-2547.76,2855.98,1.48,16.86,80,175,40850.56,278,-43398.32,891,255,385.09,491.12,376.57,39.0,sweep,loss>70%win
WTI.c,-959.45,-176.75,17939.49,4023.0,0.59,7.54,48,163,43612.409999999996,166,-25672.920000000002,649,139,332.45,298.67,216.79,50.0,sweep,meets_all
NZDUSD.c,-1173.65,-64.05,-3237.49,863.2,0.87,9.5,86,95,6076.81,175,-9314.3,538,54,789.79,660.78,181.78,35.0,,loss>70%win
